Dataset	Celltype	Gene
Brain_PFC_MohammadisDavila2020	Ast	HIF3A
Brain_PFC_MohammadisDavila2020	Ast	HPSE2
Brain_PFC_MohammadisDavila2020	Ast	HTRA1
Brain_PFC_MohammadisDavila2020	Ast	IGFBP7
Brain_PFC_MohammadisDavila2020	Ast	ITGA7
Brain_PFC_MohammadisDavila2020	Ast	ITPKB
Brain_PFC_MohammadisDavila2020	Ast	ITPR2
Brain_PFC_MohammadisDavila2020	Ast	ITSN1
Brain_PFC_MohammadisDavila2020	Ast	KANK1
Brain_PFC_MohammadisDavila2020	Ast	KCNN3
Brain_PFC_MohammadisDavila2020	Ast	LGR4
Brain_PFC_MohammadisDavila2020	Ast	LIFR
Brain_PFC_MohammadisDavila2020	Ast	LPP
Brain_PFC_MohammadisDavila2020	Ast	LRIG1
Brain_PFC_MohammadisDavila2020	Ast	LRP1B
Brain_PFC_MohammadisDavila2020	Ast	LRP4
Brain_PFC_MohammadisDavila2020	Ast	LRRC16A
Brain_PFC_MohammadisDavila2020	Ast	LRRC3B
Brain_PFC_MohammadisDavila2020	Ast	LSAMP
Brain_PFC_MohammadisDavila2020	Ast	MACF1
Brain_PFC_MohammadisDavila2020	Ast	MAML2
Brain_PFC_MohammadisDavila2020	Ast	MAP3K5
Brain_PFC_MohammadisDavila2020	Ast	MAPK10
Brain_PFC_MohammadisDavila2020	Ast	MAPK4
Brain_PFC_MohammadisDavila2020	Ast	MAST4
Brain_PFC_MohammadisDavila2020	Ast	MCC
Brain_PFC_MohammadisDavila2020	Ast	MED12L
Brain_PFC_MohammadisDavila2020	Ast	MEGF10
Brain_PFC_MohammadisDavila2020	Ast	MEIS2
Brain_PFC_MohammadisDavila2020	Ast	MERTK
Brain_PFC_MohammadisDavila2020	Ast	METTL7A
Brain_PFC_MohammadisDavila2020	Ast	MGAT4C
Brain_PFC_MohammadisDavila2020	Ast	MGST1
Brain_PFC_MohammadisDavila2020	Ast	MKLN1
Brain_PFC_MohammadisDavila2020	Ast	MLC1
Brain_PFC_MohammadisDavila2020	Ast	MMD2
Brain_PFC_MohammadisDavila2020	Ast	MRVI1
Brain_PFC_MohammadisDavila2020	Ast	MSI2
Brain_PFC_MohammadisDavila2020	Ast	MT1E
Brain_PFC_MohammadisDavila2020	Ast	MT2A
Brain_PFC_MohammadisDavila2020	Ast	MT3
Brain_PFC_MohammadisDavila2020	Ast	MTSS1L
Brain_PFC_MohammadisDavila2020	Ast	MYO10
Brain_PFC_MohammadisDavila2020	Ast	MYO6
Brain_PFC_MohammadisDavila2020	Ast	NAT8L
Brain_PFC_MohammadisDavila2020	Ast	NAV2
Brain_PFC_MohammadisDavila2020	Ast	NBPF19
Brain_PFC_MohammadisDavila2020	Ast	NCAN
Brain_PFC_MohammadisDavila2020	Ast	NCKAP5
Brain_PFC_MohammadisDavila2020	Ast	NCOA1
Brain_PFC_MohammadisDavila2020	Ast	NDRG2
Brain_PFC_MohammadisDavila2020	Ast	NEBL
Brain_PFC_MohammadisDavila2020	Ast	NFIA
Brain_PFC_MohammadisDavila2020	Ast	NFIB
Brain_PFC_MohammadisDavila2020	Ast	NHSL1
Brain_PFC_MohammadisDavila2020	Ast	NKAIN3
Brain_PFC_MohammadisDavila2020	Ast	NOTCH2
Brain_PFC_MohammadisDavila2020	Ast	NPAS3
Brain_PFC_MohammadisDavila2020	Ast	NPL
Brain_PFC_MohammadisDavila2020	Ast	NRCAM
Brain_PFC_MohammadisDavila2020	Ast	NRG3
Brain_PFC_MohammadisDavila2020	Ast	NRXN1
Brain_PFC_MohammadisDavila2020	Ast	NTM
Brain_PFC_MohammadisDavila2020	Ast	NTRK2
Brain_PFC_MohammadisDavila2020	Ast	OAF
Brain_PFC_MohammadisDavila2020	Ast	OLFM2
Brain_PFC_MohammadisDavila2020	Ast	OPHN1
Brain_PFC_MohammadisDavila2020	Ast	PAMR1
Brain_PFC_MohammadisDavila2020	Ast	PAPLN
Brain_PFC_MohammadisDavila2020	Ast	PAQR8
Brain_PFC_MohammadisDavila2020	Ast	PARD3
Brain_PFC_MohammadisDavila2020	Ast	PARD3B
Brain_PFC_MohammadisDavila2020	Ast	PCDH9
Brain_PFC_MohammadisDavila2020	Ast	PCSK5
Brain_PFC_MohammadisDavila2020	Ast	PDE7B
Brain_PFC_MohammadisDavila2020	Ast	PDGFRB
Brain_PFC_MohammadisDavila2020	Ast	PDLIM5
Brain_PFC_MohammadisDavila2020	Ast	PHF21B
Brain_PFC_MohammadisDavila2020	Ast	PITPNC1
Brain_PFC_MohammadisDavila2020	Ast	PLSCR4
Brain_PFC_MohammadisDavila2020	Ast	PLXNB1
Brain_PFC_MohammadisDavila2020	Ast	PON2
Brain_PFC_MohammadisDavila2020	Ast	PPP2R2B
Brain_PFC_MohammadisDavila2020	Ast	PRDM16
Brain_PFC_MohammadisDavila2020	Ast	PREX2
Brain_PFC_MohammadisDavila2020	Ast	PRKCA
Brain_PFC_MohammadisDavila2020	Ast	PRKD1
Brain_PFC_MohammadisDavila2020	Ast	PRKG1
Brain_PFC_MohammadisDavila2020	Ast	PRODH
Brain_PFC_MohammadisDavila2020	Ast	PSD2
Brain_PFC_MohammadisDavila2020	Ast	PSD3
Brain_PFC_MohammadisDavila2020	Ast	PTGDS
Brain_PFC_MohammadisDavila2020	Ast	PTN
Brain_PFC_MohammadisDavila2020	Ast	PTPRZ1
Brain_PFC_MohammadisDavila2020	Ast	QKI
Brain_PFC_MohammadisDavila2020	Ast	RANBP3L
Brain_PFC_MohammadisDavila2020	Ast	RAPGEF3
Brain_PFC_MohammadisDavila2020	Ast	RBMS3
Brain_PFC_MohammadisDavila2020	Ast	RERG
Brain_PFC_MohammadisDavila2020	Ast	RFX4
Brain_PFC_MohammadisDavila2020	Ast	RGMA
Brain_PFC_MohammadisDavila2020	Ast	RGS20
Brain_PFC_MohammadisDavila2020	Ast	RHOBTB3
Brain_PFC_MohammadisDavila2020	Ast	RHOJ
Brain_PFC_MohammadisDavila2020	Ast	RORA
Brain_PFC_MohammadisDavila2020	Ast	RORB
Brain_PFC_MohammadisDavila2020	Ast	RPS6KA2
Brain_PFC_MohammadisDavila2020	Ast	RYR3
Brain_PFC_MohammadisDavila2020	Ast	SAMD4A
Brain_PFC_MohammadisDavila2020	Ast	SASH1
Brain_PFC_MohammadisDavila2020	Ast	SDC4
Brain_PFC_MohammadisDavila2020	Ast	SERPINE2
Brain_PFC_MohammadisDavila2020	Ast	SFXN5
Brain_PFC_MohammadisDavila2020	Ast	SGCD
Brain_PFC_MohammadisDavila2020	Ast	SHROOM3
Brain_PFC_MohammadisDavila2020	Ast	SLC14A1
Brain_PFC_MohammadisDavila2020	Ast	SLC15A2
Brain_PFC_MohammadisDavila2020	Ast	SLC1A2
Brain_PFC_MohammadisDavila2020	Ast	SLC1A3
Brain_PFC_MohammadisDavila2020	Ast	SLC25A18
Brain_PFC_MohammadisDavila2020	Ast	SLC35F1
Brain_PFC_MohammadisDavila2020	Ast	SLC39A11
Brain_PFC_MohammadisDavila2020	Ast	SLC39A12
Brain_PFC_MohammadisDavila2020	Ast	SLC4A4
Brain_PFC_MohammadisDavila2020	Ast	SLC6A11
Brain_PFC_MohammadisDavila2020	Ast	SLC7A11
Brain_PFC_MohammadisDavila2020	Ast	SLCO1C1
Brain_PFC_MohammadisDavila2020	Ast	SORBS1
Brain_PFC_MohammadisDavila2020	Ast	SORCS2
Brain_PFC_MohammadisDavila2020	Ast	SOX5
Brain_PFC_MohammadisDavila2020	Ast	SOX6
Brain_PFC_MohammadisDavila2020	Ast	SPARCL1
Brain_PFC_MohammadisDavila2020	Ast	SPON1
Brain_PFC_MohammadisDavila2020	Ast	STK33
Brain_PFC_MohammadisDavila2020	Ast	STON2
Brain_PFC_MohammadisDavila2020	Ast	TCF7L2
Brain_PFC_MohammadisDavila2020	Ast	TGFB2
Brain_PFC_MohammadisDavila2020	Ast	TNIK
Brain_PFC_MohammadisDavila2020	Ast	TPCN1
Brain_PFC_MohammadisDavila2020	Ast	TPD52L1
Brain_PFC_MohammadisDavila2020	Ast	TRPM3
Brain_PFC_MohammadisDavila2020	Ast	TRPS1
Brain_PFC_MohammadisDavila2020	Ast	TTYH1
Brain_PFC_MohammadisDavila2020	Ast	TUBB2B
Brain_PFC_MohammadisDavila2020	Ast	VAV3
Brain_PFC_MohammadisDavila2020	Ast	WIF1
Brain_PFC_MohammadisDavila2020	Ast	WLS
Brain_PFC_MohammadisDavila2020	Ast	WWC1
Brain_PFC_MohammadisDavila2020	Ast	WWOX
Brain_PFC_MohammadisDavila2020	Ast	YAP1
Brain_PFC_MohammadisDavila2020	Ast	ZBTB20
Brain_PFC_MohammadisDavila2020	Ast	ZFHX4
Brain_PFC_MohammadisDavila2020	Ast	ZFP36L1
Brain_PFC_MohammadisDavila2020	Ast	ZHX2
Brain_PFC_MohammadisDavila2020	Ast	ZHX3
Brain_PFC_MohammadisDavila2020	Ast	ZNF98
Brain_PFC_MohammadisDavila2020	Ast	ZNRF3
Brain_PFC_MohammadisDavila2020	Ast	ZSWIM6
Brain_PFC_MohammadisDavila2020	Endo	A2M
Brain_PFC_MohammadisDavila2020	Endo	ABCB1
Brain_PFC_MohammadisDavila2020	Endo	ABCG2
Brain_PFC_MohammadisDavila2020	Endo	ACTB
Brain_PFC_MohammadisDavila2020	Endo	ACTN4
Brain_PFC_MohammadisDavila2020	Endo	ACVR1
Brain_PFC_MohammadisDavila2020	Endo	ADIRF
Brain_PFC_MohammadisDavila2020	Endo	AHNAK
Brain_PFC_MohammadisDavila2020	Endo	ANO2
Brain_PFC_MohammadisDavila2020	Endo	APOLD1
Brain_PFC_MohammadisDavila2020	Endo	ARHGAP29
Brain_PFC_MohammadisDavila2020	Endo	ARHGAP31
Brain_PFC_MohammadisDavila2020	Endo	ATP10A
Brain_PFC_MohammadisDavila2020	Endo	ATP1A2
Brain_PFC_MohammadisDavila2020	Endo	B2M
Brain_PFC_MohammadisDavila2020	Endo	BGN
Brain_PFC_MohammadisDavila2020	Endo	BMPR2
Brain_PFC_MohammadisDavila2020	Endo	BSG
Brain_PFC_MohammadisDavila2020	Endo	BST2
Brain_PFC_MohammadisDavila2020	Endo	C10orf11
Brain_PFC_MohammadisDavila2020	Endo	CALD1
Brain_PFC_MohammadisDavila2020	Endo	CD34
Brain_PFC_MohammadisDavila2020	Endo	CFH
Brain_PFC_MohammadisDavila2020	Endo	CFLAR
Brain_PFC_MohammadisDavila2020	Endo	CGNL1
Brain_PFC_MohammadisDavila2020	Endo	CLDN5
Brain_PFC_MohammadisDavila2020	Endo	CLIC4
Brain_PFC_MohammadisDavila2020	Endo	CMTM8
Brain_PFC_MohammadisDavila2020	Endo	COBLL1
Brain_PFC_MohammadisDavila2020	Endo	COL18A1
Brain_PFC_MohammadisDavila2020	Endo	COL4A1
Brain_PFC_MohammadisDavila2020	Endo	COL4A2
Brain_PFC_MohammadisDavila2020	Endo	COLEC12
Brain_PFC_MohammadisDavila2020	Endo	CRIM1
Brain_PFC_MohammadisDavila2020	Endo	CTNNB1
Brain_PFC_MohammadisDavila2020	Endo	DACH1
Brain_PFC_MohammadisDavila2020	Endo	DCN
Brain_PFC_MohammadisDavila2020	Endo	DLC1
Brain_PFC_MohammadisDavila2020	Endo	DOCK6
Brain_PFC_MohammadisDavila2020	Endo	DUSP1
Brain_PFC_MohammadisDavila2020	Endo	EBF1
Brain_PFC_MohammadisDavila2020	Endo	EEF1A1
Brain_PFC_MohammadisDavila2020	Endo	EGFL7
Brain_PFC_MohammadisDavila2020	Endo	ELOVL7
Brain_PFC_MohammadisDavila2020	Endo	EMCN
Brain_PFC_MohammadisDavila2020	Endo	EMP2
Brain_PFC_MohammadisDavila2020	Endo	ENG
Brain_PFC_MohammadisDavila2020	Endo	EPAS1
Brain_PFC_MohammadisDavila2020	Endo	EPB41L4A
Brain_PFC_MohammadisDavila2020	Endo	EPS8
Brain_PFC_MohammadisDavila2020	Endo	ERG
Brain_PFC_MohammadisDavila2020	Endo	ESAM
Brain_PFC_MohammadisDavila2020	Endo	ESYT2
Brain_PFC_MohammadisDavila2020	Endo	ETS1
Brain_PFC_MohammadisDavila2020	Endo	ETS2
Brain_PFC_MohammadisDavila2020	Endo	FLI1
Brain_PFC_MohammadisDavila2020	Endo	FLT1
Brain_PFC_MohammadisDavila2020	Endo	FN1
Brain_PFC_MohammadisDavila2020	Endo	FNDC3B
Brain_PFC_MohammadisDavila2020	Endo	FOXO1
Brain_PFC_MohammadisDavila2020	Endo	FOXP1
Brain_PFC_MohammadisDavila2020	Endo	GNG11
Brain_PFC_MohammadisDavila2020	Endo	GPCPD1
Brain_PFC_MohammadisDavila2020	Endo	H3F3B
Brain_PFC_MohammadisDavila2020	Endo	HEG1
Brain_PFC_MohammadisDavila2020	Endo	HES4
Brain_PFC_MohammadisDavila2020	Endo	HIGD1B
Brain_PFC_MohammadisDavila2020	Endo	HLA-A
Brain_PFC_MohammadisDavila2020	Endo	HLA-C
Brain_PFC_MohammadisDavila2020	Endo	HLA-E
Brain_PFC_MohammadisDavila2020	Endo	HMCN1
Brain_PFC_MohammadisDavila2020	Endo	HSPA1A
Brain_PFC_MohammadisDavila2020	Endo	HSPB1
Brain_PFC_MohammadisDavila2020	Endo	ICAM2
Brain_PFC_MohammadisDavila2020	Endo	ID1
Brain_PFC_MohammadisDavila2020	Endo	ID3
Brain_PFC_MohammadisDavila2020	Endo	IFI27
Brain_PFC_MohammadisDavila2020	Endo	IFI44L
Brain_PFC_MohammadisDavila2020	Endo	IFITM2
Brain_PFC_MohammadisDavila2020	Endo	IFITM3
Brain_PFC_MohammadisDavila2020	Endo	IGF1R
Brain_PFC_MohammadisDavila2020	Endo	IGFBP7
Brain_PFC_MohammadisDavila2020	Endo	INPP5D
Brain_PFC_MohammadisDavila2020	Endo	ISG15
Brain_PFC_MohammadisDavila2020	Endo	ITGA1
Brain_PFC_MohammadisDavila2020	Endo	ITGA6
Brain_PFC_MohammadisDavila2020	Endo	ITGB1
Brain_PFC_MohammadisDavila2020	Endo	ITIH5
Brain_PFC_MohammadisDavila2020	Endo	ITM2A
Brain_PFC_MohammadisDavila2020	Endo	KIAA1462
Brain_PFC_MohammadisDavila2020	Endo	KLF2
Brain_PFC_MohammadisDavila2020	Endo	KLF6
